I typed <ps -o user,uid,pid,comm,rss,vsz -e > ~/Desktop/p1#3.txt> and got the
text below. Apon futher inspection you can see processe 3355, gnome-shell, is
using the most real memory, and processe 1100, console-kit-dae, is using the
most virtual memory.

USER       UID   PID COMMAND           RSS    VSZ
root         0     1 systemd         23976  56780
root         0     2 kthreadd            0      0
root         0     3 ksoftirqd/0         0      0
root         0     6 migration/0         0      0
root         0     7 watchdog/0          0      0
root         0    21 cpuset              0      0
root         0    22 khelper             0      0
root         0    23 kdevtmpfs           0      0
root         0    24 netns               0      0
root         0    25 sync_supers         0      0
root         0    26 bdi-default         0      0
root         0    27 kintegrityd         0      0
root         0    28 kblockd             0      0
root         0    29 ata_sff             0      0
root         0    30 khubd               0      0
root         0    31 md                  0      0
root         0    34 kswapd0             0      0
root         0    35 ksmd                0      0
root         0    36 khugepaged          0      0
root         0    37 fsnotify_mark       0      0
root         0    38 crypto              0      0
root         0    44 kthrotld            0      0
root         0    47 scsi_eh_0           0      0
root         0    48 scsi_eh_1           0      0
root         0    49 scsi_eh_2           0      0
root         0    50 scsi_eh_3           0      0
root         0    54 kpsmoused           0      0
root         0   382 kdmflush            0      0
root         0   384 kdmflush            0      0
root         0   428 jbd2/dm-1-8         0      0
root         0   429 ext4-dio-unwrit     0      0
root         0   463 kauditd             0      0
root         0   470 udevd            4608  20288
root         0   478 flush-253:1         0      0
root         0   482 systemd-stdout-   956  23200
root         0   686 ips-adjust          0      0
root         0   687 ips-monitor         0      0
root         0   747 hd-audio0           0      0
root         0   819 jbd2/sda2-8         0      0
root         0   820 ext4-dio-unwrit     0      0
root         0   827 kdmflush            0      0
root         0   854 jbd2/dm-2-8         0      0
root         0   855 ext4-dio-unwrit     0      0
root         0   887 auditd           1104  25776
root         0   908 dhclient         7352  86156
root         0   921 NetworkManager   5820 160968
root         0   926 abrtd            1500 122784
root         0   928 audispd           848  80224
root         0   929 sedispatch        888  21392
root         0   942 irqbalance        504  20588
root         0   943 abrt-dump-oops    884  18176
avahi       70   944 avahi-daemon     1560  28000
avahi       70   946 avahi-daemon      216  27876
root         0   956 system-setup-ke   304  11568
root         0   961 systemd-logind   1660  28320
root         0   966 mcelog            912   6952
chrony     994   969 chronyd          1308  21620
dbus        81   973 dbus-daemon      2924  97008
root         0   978 crond            1556 118340
root         0   983 polkitd          4128 189312
root         0   989 modem-manager    2796  71052
root         0   992 wpa_supplicant   1908  47080
root         0  1012 lldpad           1352  15884
root         0  1018 fc_exch_workque     0      0
root         0  1019 fc_rport_eq         0      0
root         0  1020 fcoethread/0        0      0
root         0  1030 fcoemon           364   8540
root         0  1047 rsyslogd         1528 243120
root         0  1057 gdm-binary       2248 139984
root         0  1100 console-kit-dae  3624 2085468
root         0  1102 accounts-daemon  3320 217564
root         0  1185 upowerd          3980 156052
root         0  1226 flush-253:2         0      0
rtkit      172  1243 rtkit-daemon     1244 164560
marc      1000  1452 pulseaudio       6540 523288
marc      1000  1458 gconf-helper     2788 100288
root         0  1465 cupsd            3752 201676
root         0  1478 udisks-daemon    3560 129848
root         0  1479 udisks-daemon     532  47528
root         0  1489 colord          10256 443380
root         0  1828 sendmail         2588  97528
smmsp       51  1863 sendmail         1768  82592
marc      1000  2404 nautilus        25588 985392
marc      1000  2410 gvfsd-trash      3068 165128
marc      1000  2415 gvfsd-burn       2432 158504
